id,handle,first_name,last_name,email,street,city,state,gender_identity,real_food_affinity,luxury_brand_affinity,tech_gadget_affinity,travel_affinity,cost_per_impression
189,cmeech58,Corrianne,Meech,cmeech58@youtube.com,9 Thompson Road,Winter Haven,Florida,Agender,0.7,0.29,0.79,0.87,58
190,acranidge59,Adan,Cranidge,acranidge59@baidu.com,68728 North Court,Baton Rouge,Louisiana,Agender,0.54,0.62,0.55,0.51,18
191,emanketell5a,Ediva,Manketell,emanketell5a@earthlink.net,45 Warner Circle,Winston Salem,North Carolina,Male,0.31,0.61,0.0,0.11,94
192,cbraddon5b,Cori,Braddon,cbraddon5b@cnbc.com,6402 Anderson Terrace,Honolulu,Hawaii,Genderfluid,0.21,0.15,0.58,0.51,10
193,regiloff5c,Rhys,Egiloff,regiloff5c@furl.net,6383 Dorton Circle,Louisville,Kentucky,Genderfluid,0.02,0.88,0.32,0.29,5
194,mcortes5d,Morgan,Cortes,mcortes5d@disqus.com,6582 Hayes Street,Seattle,Washington,Polygender,0.94,0.13,0.75,0.7,92
195,bsemorad5e,Bentley,Semorad,bsemorad5e@rakuten.co.jp,79991 Village Way,Panama City,Florida,Male,0.37,0.63,0.74,0.37,85
196,sgoves5f,Sascha,Goves,sgoves5f@spiegel.de,7 Alpine Way,New York City,New York,Non-binary,0.05,0.59,0.7,0.5,92
197,fvivien5g,Fidel,Vivien,fvivien5g@hc360.com,8 Anderson Drive,Montgomery,Alabama,Bigender,0.85,0.94,0.59,0.33,25
198,eoxtiby5h,Eachelle,Oxtiby,eoxtiby5h@google.com.hk,27 Merry Point,Carol Stream,Illinois,Genderfluid,0.32,0.94,0.48,0.09,27
199,wgutcher5i,Wenona,Gutcher,wgutcher5i@about.com,9031 Sunbrook Alley,Billings,Montana,Genderqueer,0.31,0.58,0.38,0.42,76
200,dgutcher5j,Dix,Gutcher,dgutcher5j@springer.com,8755 Menomonie Hill,Indianapolis,Indiana,Bigender,0.21,0.41,0.32,0.98,39
201,msuddaby5k,Mora,Suddaby,msuddaby5k@about.me,550 Pearson Terrace,Trenton,New Jersey,Bigender,0.69,0.62,0.09,0.49,55
202,hboam5l,Haleigh,Boam,hboam5l@mapquest.com,72388 Hovde Alley,Boca Raton,Florida,Male,0.86,0.67,0.62,0.49,45
204,eferries5n,Elvis,Ferries,eferries5n@npr.org,807 Maryland Center,Monticello,Minnesota,Female,0.63,0.99,0.2,0.13,60
205,ppinwell5o,Pieter,Pinwell,ppinwell5o@sitemeter.com,7 Spaight Lane,Nashville,Tennessee,Genderqueer,0.13,0.9,0.12,0.65,40
206,oloveguard5p,Omar,Loveguard,oloveguard5p@economist.com,342 Vidon Pass,Peoria,Arizona,Bigender,0.82,0.31,0.98,0.0,67
207,cflewin5q,Coral,Flewin,cflewin5q@mtv.com,262 Lake View Junction,Jackson,Mississippi,Genderqueer,0.61,0.05,0.89,0.74,100
208,jjosland5r,Jennee,Josland,jjosland5r@theguardian.com,6285 Barnett Street,Washington,District of Columbia,Genderfluid,0.81,0.87,0.7,0.29,0
211,vsanham5u,Vanni,Sanham,vsanham5u@sun.com,349 1st Street,Saint Louis,Missouri,Agender,0.78,0.21,0.25,0.75,48
212,ccrosoer5v,Corinne,Crosoer,ccrosoer5v@nasa.gov,0908 Warbler Crossing,Pittsburgh,Pennsylvania,Non-binary,0.82,0.78,0.39,0.29,26
213,okemmer5w,Olivie,Kemmer,okemmer5w@cnbc.com,593 Forster Plaza,Dayton,Ohio,Bigender,0.07,0.14,0.06,0.32,29
214,rsambath5x,Ricki,Sambath,rsambath5x@istockphoto.com,80222 Laurel Plaza,Jersey City,New Jersey,Male,0.27,0.61,0.97,0.39,60
215,focaherny5y,Feliza,O'Caherny,focaherny5y@storify.com,4112 Merrick Crossing,Peoria,Illinois,Female,0.49,0.7,0.41,0.87,34
216,bstruis5z,Barrie,Struis,bstruis5z@bbc.co.uk,4 Towne Lane,Kansas City,Missouri,Genderqueer,0.26,0.95,0.81,0.7,69
217,dduchenne60,Deirdre,Duchenne,dduchenne60@unicef.org,06230 Kingsford Center,Houston,Texas,Agender,0.65,0.7,0.03,0.63,84
218,salster61,Smith,Alster,salster61@domainmarket.com,17 Bartillon Plaza,Miami,Florida,Bigender,0.37,0.1,0.37,0.79,4
219,selcome62,Sarah,Elcome,selcome62@cdbaby.com,81406 Bunting Terrace,Houston,Texas,Agender,0.46,0.72,0.33,0.03,42
220,mgalier63,Mala,Galier,mgalier63@omniture.com,88319 Ramsey Hill,Los Angeles,California,Female,0.87,0.75,0.72,0.06,98
221,rvasenin64,Rozanna,Vasenin,rvasenin64@edublogs.org,6737 Sheridan Crossing,Los Angeles,California,Female,0.03,0.39,0.02,0.91,73
222,wstokoe65,Wandis,Stokoe,wstokoe65@symantec.com,62 Corscot Plaza,Las Vegas,Nevada,Non-binary,0.17,0.61,0.12,0.11,82
223,lolive66,Lazare,Olive,lolive66@google.co.jp,7338 8th Court,Durham,North Carolina,Agender,0.53,0.95,0.54,0.77,1
224,bslaughter67,Benson,Slaughter,bslaughter67@youku.com,709 Towne Court,Pompano Beach,Florida,Bigender,0.92,0.6,0.27,0.7,32
226,wlavrick69,Westbrook,Lavrick,wlavrick69@slate.com,80412 Killdeer Crossing,Baton Rouge,Louisiana,Polygender,0.67,1.0,0.43,0.82,76
227,pjosipovitz6a,Phip,Josipovitz,pjosipovitz6a@wufoo.com,55 Shoshone Place,College Station,Texas,Genderfluid,0.96,0.1,0.28,0.83,73
228,gbarker6b,Gilli,Barker,gbarker6b@utexas.edu,8097 Miller Street,Tampa,Florida,Genderqueer,0.18,0.46,0.23,0.7,44
230,rtomenson6d,Riccardo,Tomenson,rtomenson6d@hatena.ne.jp,74097 Kedzie Circle,Baltimore,Maryland,Bigender,0.33,0.56,0.42,0.37,93
231,kdenkel6e,Karin,Denkel,kdenkel6e@macromedia.com,573 Morningstar Parkway,Minneapolis,Minnesota,Genderfluid,0.54,0.55,0.16,0.74,15
233,bceccoli6g,Bone,Ceccoli,bceccoli6g@yandex.ru,26 Acker Drive,Arlington,Virginia,Male,0.29,0.93,0.5,0.17,33
234,vammer6h,Vallie,Ammer,vammer6h@prlog.org,8 Clyde Gallagher Park,Kansas City,Missouri,Bigender,0.47,0.84,0.79,0.55,69
236,hziemke6j,Hanan,Ziemke,hziemke6j@macromedia.com,70202 Claremont Circle,Houston,Texas,Bigender,0.68,0.37,0.97,0.63,54
237,ascothron6k,Annie,Scothron,ascothron6k@unesco.org,4263 Killdeer Point,Waco,Texas,Agender,0.59,0.16,0.64,0.95,11
238,onoller6l,Ofelia,Noller,onoller6l@uol.com.br,8287 Fairview Way,Evanston,Illinois,Genderfluid,0.42,0.12,0.42,0.69,13
239,lbazylets6m,Lucia,Bazylets,lbazylets6m@biblegateway.com,75 Blackbird Hill,Oklahoma City,Oklahoma,Genderqueer,0.99,0.65,0.61,0.92,76
240,ngrierson6n,Nanete,Grierson,ngrierson6n@list-manage.com,56 Northwestern Avenue,Charlotte,North Carolina,Male,0.24,0.48,0.8,0.33,77
241,nbister6o,Nana,Bister,nbister6o@paginegialle.it,7803 Hansons Road,Memphis,Tennessee,Agender,0.3,0.92,0.85,0.06,87
242,gboost6p,Giraldo,Boost,gboost6p@ask.com,0 Mesta Crossing,Bronx,New York,Genderqueer,0.21,0.59,0.39,0.51,89
243,cdunkerk6q,Cheston,Dunkerk,cdunkerk6q@yellowbook.com,5 Holmberg Way,Tulsa,Oklahoma,Genderqueer,0.02,0.47,0.63,0.67,0
244,blinford6r,Burnard,Linford,blinford6r@dmoz.com,8 Welch Way,Tacoma,Washington,Polygender,0.01,0.86,0.58,0.88,57
246,jhuffer6t,Jarid,Huffer,jhuffer6t@liveinternet.ru,612 Mayfield Junction,Pueblo,Colorado,Bigender,0.07,0.28,0.01,0.98,14
247,bgianneschi6u,Bernice,Gianneschi,bgianneschi6u@clickbank.net,11523 Express Terrace,Clearwater,Florida,Male,0.91,0.42,0.37,0.77,86
248,cdraycott6v,Cchaddie,Draycott,cdraycott6v@github.com,9414 Waxwing Parkway,Toledo,Ohio,Bigender,1.0,0.11,0.52,0.36,23
249,nswinfon6w,Nester,Swinfon,nswinfon6w@fc2.com,1285 Towne Way,Watertown,Massachusetts,Male,0.27,0.29,0.0,0.85,1
250,wskain6x,Wakefield,Skain,wskain6x@blogspot.com,65340 Sunbrook Park,Tulsa,Oklahoma,Female,0.6,0.56,0.47,0.31,33
251,rgrundy6y,Roxanne,Grundy,rgrundy6y@wikimedia.org,014 Graceland Road,Atlanta,Georgia,Non-binary,0.9,0.04,0.36,0.6,14
253,vogdahl70,Vi,Ogdahl,vogdahl70@gnu.org,7 Declaration Court,Washington,District of Columbia,Non-binary,0.38,0.57,0.07,0.77,82
254,mwase71,Maddi,Wase,mwase71@seattletimes.com,602 Roxbury Junction,Brooklyn,New York,Male,0.79,0.71,0.66,0.37,54
255,asalerg72,Annmarie,Salerg,asalerg72@harvard.edu,90 Prairie Rose Alley,Portland,Oregon,Agender,0.77,0.47,0.97,0.39,88
256,cthorley73,Caren,Thorley,cthorley73@netscape.com,427 Cody Alley,Indianapolis,Indiana,Polygender,0.17,0.97,0.35,0.39,92
257,aangus74,Arman,Angus,aangus74@topsy.com,68 Anderson Plaza,Lake Charles,Louisiana,Genderqueer,0.76,0.54,0.07,0.49,82
258,rbackes75,Remus,Backes,rbackes75@ovh.net,8494 6th Drive,Pensacola,Florida,Female,0.19,0.56,0.98,0.88,76
259,awade76,Alexandre,Wade,awade76@pbs.org,9294 Gina Crossing,Philadelphia,Pennsylvania,Non-binary,0.16,0.35,0.4,0.41,19
261,gdruhan78,Gaspard,Druhan,gdruhan78@hexun.com,6387 Vermont Alley,Miami,Florida,Genderqueer,0.33,0.07,0.14,0.35,66
262,pcarlisso79,Pepita,Carlisso,pcarlisso79@bbb.org,314 Eagle Crest Center,Topeka,Kansas,Genderfluid,0.64,0.17,0.47,0.6,89
263,scamilletti7a,Starr,Camilletti,scamilletti7a@csmonitor.com,232 Nobel Alley,Cheyenne,Wyoming,Agender,0.67,0.03,0.28,0.64,86
264,crookwell7b,Charo,Rookwell,crookwell7b@phpbb.com,6292 Manitowish Park,Knoxville,Tennessee,Male,0.79,0.27,0.47,0.11,95
265,telphey7c,Tobit,Elphey,telphey7c@prlog.org,94 Spaight Street,Atlanta,Georgia,Non-binary,0.72,0.29,0.92,0.04,50
266,gfolcarelli7d,Gar,Folcarelli,gfolcarelli7d@google.pl,89 Transport Pass,Gary,Indiana,Agender,0.24,0.57,0.17,0.1,54
267,vmccloughlin7e,Vernon,McCloughlin,vmccloughlin7e@scribd.com,6253 Union Way,Philadelphia,Pennsylvania,Male,0.84,0.73,0.37,0.3,2
268,lwooffitt7f,Laurette,Wooffitt,lwooffitt7f@sogou.com,09925 Bartillon Plaza,Des Moines,Iowa,Bigender,0.8,0.26,0.61,0.81,48
269,dthaxton7g,Dominic,Thaxton,dthaxton7g@sohu.com,95 Union Road,Brooklyn,New York,Genderqueer,0.32,0.88,0.49,0.5,77
270,tharme7h,Tabatha,Harme,tharme7h@ask.com,74454 Maple Wood Court,Cambridge,Massachusetts,Genderfluid,0.64,0.7,0.04,0.28,71
271,hcaslett7i,Hedvig,Caslett,hcaslett7i@netscape.com,157 Comanche Terrace,Glendale,California,Male,0.58,0.31,0.23,0.76,68
272,gcreebo7j,Gilburt,Creebo,gcreebo7j@cnet.com,9811 Lakewood Gardens Street,Tucson,Arizona,Non-binary,0.11,0.4,0.05,0.76,74
273,kvaughton7k,Katya,Vaughton,kvaughton7k@princeton.edu,14 Steensland Center,Fort Lauderdale,Florida,Genderqueer,0.53,0.48,0.03,0.26,27
274,croarty7l,Chadwick,Roarty,croarty7l@wufoo.com,4 Sachtjen Drive,Whittier,California,Non-binary,0.12,0.69,0.84,0.85,60
275,vdegiorgis7m,Vanya,De Giorgis,vdegiorgis7m@canalblog.com,03968 Eagan Park,Atlanta,Georgia,Genderqueer,0.02,0.85,0.2,0.46,59
276,mpollicatt7n,Monica,Pollicatt,mpollicatt7n@networkadvertising.org,45 Shoshone Lane,Irvine,California,Non-binary,0.8,0.95,0.77,0.68,94
277,afountaine7o,Agathe,Fountaine,afountaine7o@dailymotion.com,972 Evergreen Park,Des Moines,Iowa,Agender,0.55,0.68,0.69,0.81,66
278,cfife7p,Corly,Fife,cfife7p@instagram.com,2052 Tennessee Terrace,Nashville,Tennessee,Bigender,0.34,0.2,0.53,0.29,80
279,dplessing7q,Dwayne,Plessing,dplessing7q@e-recht24.de,9 Eagle Crest Parkway,Tyler,Texas,Agender,0.58,0.22,0.63,0.68,78
280,jbolley7r,Jodi,Bolley,jbolley7r@bluehost.com,1966 Claremont Trail,Dallas,Texas,Female,0.76,0.91,0.1,0.66,14
281,mdysart7s,Misty,Dysart,mdysart7s@princeton.edu,8374 Cascade Plaza,Tulsa,Oklahoma,Male,0.32,0.73,0.07,0.6,62
282,epottes7t,Emmeline,Pottes,epottes7t@people.com.cn,0837 Hoffman Lane,Myrtle Beach,South Carolina,Non-binary,0.37,0.5,0.07,0.95,44
283,zallday7u,Zora,Allday,zallday7u@zdnet.com,3 Lotheville Crossing,Hampton,Virginia,Non-binary,0.15,0.29,0.73,0.32,50
284,fharmer7v,Freddy,Harmer,fharmer7v@sbwire.com,37 Roxbury Pass,Sarasota,Florida,Non-binary,0.94,0.06,0.62,0.71,74
285,ikleanthous7w,Issie,Kleanthous,ikleanthous7w@nationalgeographic.com,627 Bay Way,Fresno,California,Genderqueer,0.65,0.2,0.75,0.22,54
286,mmccrorie7x,Mitzi,McCrorie,mmccrorie7x@privacy.gov.au,07296 American Junction,Trenton,New Jersey,Bigender,0.18,0.88,0.5,0.15,67
287,mtapply7y,Maud,Tapply,mtapply7y@slideshare.net,88856 Lindbergh Park,Saint Louis,Missouri,Male,0.81,1.0,0.29,0.76,62
288,vgratland7z,Victoir,Gratland,vgratland7z@ucoz.com,0253 Norway Maple Avenue,Phoenix,Arizona,Agender,0.69,0.82,0.31,0.41,1
289,jtivnan80,Joeann,Tivnan,jtivnan80@e-recht24.de,2 Glendale Road,Houston,Texas,Agender,0.31,0.63,0.47,0.85,94
290,eregglar81,Estelle,Regglar,eregglar81@skype.com,4527 Beilfuss Street,Flushing,New York,Genderfluid,0.4,0.03,0.36,0.55,41
291,pmerali82,Paloma,Merali,pmerali82@china.com.cn,661 Tennessee Road,Kansas City,Missouri,Agender,0.95,0.27,0.82,0.21,58
292,lcocksedge83,Larry,Cocksedge,lcocksedge83@trellian.com,4221 Longview Avenue,Atlanta,Georgia,Male,0.46,0.58,0.24,0.68,80
293,mmiddlehurst84,Mina,Middlehurst,mmiddlehurst84@businesswire.com,21 Leroy Street,Washington,District of Columbia,Polygender,0.57,0.66,0.99,0.28,60
295,marber86,Meghan,Arber,marber86@cisco.com,034 Lotheville Place,Portland,Oregon,Polygender,0.95,0.61,0.38,0.07,34
296,nlottrington87,Nicholas,Lottrington,nlottrington87@bravesites.com,1 Leroy Terrace,Largo,Florida,Bigender,0.06,0.34,0.33,1.0,48
297,etoye88,Eduard,Toye,etoye88@bizjournals.com,61 Mandrake Street,Portland,Oregon,Non-binary,0.85,0.81,0.97,0.96,43
298,jcolquitt89,Julietta,Colquitt,jcolquitt89@ft.com,84406 Eastlawn Drive,Sacramento,California,Polygender,0.39,0.02,0.27,0.77,79
299,mlawly8a,Min,Lawly,mlawly8a@yandex.ru,79 Namekagon Center,Miami Beach,Florida,Genderfluid,0.93,0.21,0.62,0.21,82
300,hmunkley8b,Heindrick,Munkley,hmunkley8b@dot.gov,25 Canary Court,Gadsden,Alabama,Polygender,0.87,0.96,0.51,0.26,0
302,pfairham8d,Peyter,Fairham,pfairham8d@chicagotribune.com,0 Melby Circle,Denver,Colorado,Female,0.9,0.76,0.8,0.0,27
303,asharratt8e,Anton,Sharratt,asharratt8e@e-recht24.de,67 Dovetail Hill,Philadelphia,Pennsylvania,Bigender,0.85,0.31,0.09,0.77,42
304,stamblingson8f,Skye,Tamblingson,stamblingson8f@hud.gov,2415 Gale Park,Columbia,South Carolina,Polygender,0.56,0.93,0.81,0.99,92
305,njeanes8g,Natala,Jeanes,njeanes8g@columbia.edu,8 Mallory Parkway,Monticello,Minnesota,Bigender,0.82,0.14,0.63,0.66,69
306,rvasnev8h,Ranna,Vasnev,rvasnev8h@sitemeter.com,74 Sloan Alley,New York City,New York,Genderqueer,0.15,0.71,0.36,0.93,80
307,cberk8i,Chery,Berk,cberk8i@acquirethisname.com,047 Hoard Park,Wichita,Kansas,Agender,0.18,0.16,0.5,0.24,50
308,bjude8j,Burnard,Jude,bjude8j@guardian.co.uk,54873 Raven Circle,Augusta,Georgia,Polygender,0.85,0.34,0.19,0.23,97
309,ntrevance8k,Noreen,Trevance,ntrevance8k@webs.com,557 Dapin Hill,Fort Lauderdale,Florida,Male,0.28,0.59,0.88,0.69,58
310,lgroarty8l,Lanna,Groarty,lgroarty8l@amazon.de,70274 Paget Lane,Littleton,Colorado,Bigender,0.13,0.67,0.13,0.88,100
311,mlum8m,Melessa,Lum,mlum8m@php.net,015 Golf Course Junction,Humble,Texas,Bigender,0.26,0.44,0.26,0.16,16
313,bhillin8o,Booth,Hillin,bhillin8o@g.co,1677 Becker Street,Kansas City,Missouri,Non-binary,0.35,0.22,0.75,0.87,49
314,mtantum8p,Myranda,Tantum,mtantum8p@ucsd.edu,681 Dennis Plaza,Santa Ana,California,Genderfluid,0.91,0.86,0.33,0.82,77
315,bpellingar8q,Bernelle,Pellingar,bpellingar8q@cisco.com,9 Logan Circle,Montgomery,Alabama,Female,0.86,0.77,0.11,0.11,1
316,hjoutapaitis8r,Hadlee,Joutapaitis,hjoutapaitis8r@forbes.com,3948 Monica Parkway,Fairbanks,Alaska,Bigender,0.46,0.66,0.26,0.89,76
317,gwylie8s,Genni,Wylie,gwylie8s@seattletimes.com,490 Sommers Plaza,West Palm Beach,Florida,Bigender,0.37,0.84,0.53,0.11,91
318,chounsom8t,Celestyn,Hounsom,chounsom8t@imgur.com,47866 Mosinee Pass,Corpus Christi,Texas,Genderqueer,0.57,0.63,0.85,0.59,9
319,tkares8u,Thornie,Kares,tkares8u@spotify.com,52330 Corry Parkway,Houston,Texas,Non-binary,0.72,0.92,0.55,0.41,55
320,hgioani8v,Halsey,Gioani,hgioani8v@nyu.edu,800 Buena Vista Alley,San Diego,California,Genderqueer,0.53,0.12,0.12,0.93,54
321,gwilber8w,Goddard,Wilber,gwilber8w@wiley.com,54 Barby Pass,Springfield,Ohio,Agender,0.53,0.41,0.4,0.92,16
322,sstucke8x,Sven,Stucke,sstucke8x@imageshack.us,931 6th Way,Lynchburg,Virginia,Female,0.52,0.29,0.44,0.62,13
323,haxby8y,Horten,Axby,haxby8y@uol.com.br,73 Stone Corner Drive,New Bedford,Massachusetts,Genderfluid,0.86,0.1,0.61,0.34,94
325,sfarmiloe90,Shaylynn,Farmiloe,sfarmiloe90@samsung.com,0675 Prairieview Court,Sandy,Utah,Genderqueer,0.87,0.63,0.93,0.78,52
326,tcaulwell91,Thaine,Caulwell,tcaulwell91@ustream.tv,4220 Upham Center,Pittsburgh,Pennsylvania,Female,0.03,0.02,0.74,0.56,80
327,fmarrable92,Flory,Marrable,fmarrable92@pcworld.com,29139 Crowley Lane,Alexandria,Virginia,Agender,0.54,0.91,0.6,0.11,39
328,qalbinson93,Quintin,Albinson,qalbinson93@google.pl,0866 Transport Road,Nashville,Tennessee,Bigender,0.25,0.27,0.57,0.12,27
329,cfrancescuccio94,Chelsae,Francescuccio,cfrancescuccio94@ocn.ne.jp,4 Judy Place,Seminole,Florida,Genderqueer,0.96,0.98,0.62,0.26,84
330,pscryne95,Patty,Scryne,pscryne95@meetup.com,6 Paget Place,Denver,Colorado,Female,0.86,0.3,0.19,0.75,27
331,arandal96,Angie,Randal,arandal96@freewebs.com,0321 Del Mar Way,Orlando,Florida,Male,0.13,0.67,0.1,0.54,84
332,bveljes97,Barney,Veljes,bveljes97@fda.gov,566 Manitowish Pass,Philadelphia,Pennsylvania,Genderqueer,0.64,0.19,0.14,0.78,97
333,agabriely98,Ariel,Gabriely,agabriely98@economist.com,529 Fuller Street,Indianapolis,Indiana,Genderfluid,0.74,0.29,0.37,0.6,63
334,sgarlicke99,Shelby,Garlicke,sgarlicke99@networkadvertising.org,3 Laurel Trail,Jacksonville,Florida,Bigender,0.69,0.01,0.73,0.15,62
335,jthistleton9a,Janella,Thistleton,jthistleton9a@thetimes.co.uk,4 Union Drive,Sarasota,Florida,Genderqueer,0.29,0.21,0.26,0.42,75
336,dmckeurtan9b,Dyanne,McKeurtan,dmckeurtan9b@twitter.com,52664 Graceland Avenue,Louisville,Kentucky,Male,0.63,0.26,0.13,0.54,88
337,lmckinless9c,Luisa,McKinless,lmckinless9c@ezinearticles.com,0290 Roxbury Crossing,Chicago,Illinois,Genderfluid,0.15,0.31,0.17,0.96,45
338,mgrzeszczak9d,Meredith,Grzeszczak,mgrzeszczak9d@cbslocal.com,114 Thompson Point,Reno,Nevada,Polygender,0.06,0.7,0.85,0.86,64
339,jglazebrook9e,Jorrie,Glazebrook,jglazebrook9e@weebly.com,4 Ronald Regan Avenue,Omaha,Nebraska,Polygender,0.47,0.26,0.3,0.95,54
340,nmaccorley9f,Nelia,MacCorley,nmaccorley9f@flavors.me,25623 Coleman Trail,Peoria,Illinois,Agender,0.7,0.15,0.9,0.82,68
341,cmacguire9g,Christophorus,Macguire,cmacguire9g@gmpg.org,9369 Rigney Park,Tampa,Florida,Genderfluid,0.52,0.15,0.35,0.56,70
342,dkivlin9h,Daphene,Kivlin,dkivlin9h@tmall.com,5 Killdeer Drive,Chicago,Illinois,Polygender,0.33,0.41,0.49,0.41,53
343,jnoell9i,Jonathan,Noell,jnoell9i@flavors.me,1333 Crescent Oaks Street,Phoenix,Arizona,Female,0.93,0.09,0.24,0.15,89
344,mhayman9j,Marielle,Hayman,mhayman9j@shareasale.com,84 Morrow Road,Pittsburgh,Pennsylvania,Genderqueer,0.83,0.86,0.56,0.15,63
346,dhalbert9l,Doretta,Halbert,dhalbert9l@taobao.com,0965 Browning Road,Chattanooga,Tennessee,Agender,0.91,0.24,0.8,0.97,80
347,blockless9m,Bevin,Lockless,blockless9m@gmpg.org,02 Texas Crossing,Schenectady,New York,Non-binary,0.7,0.59,0.14,0.2,52
348,kmccaghan9n,Kareem,Mc Caghan,kmccaghan9n@nasa.gov,9 Bartillon Circle,Houston,Texas,Female,0.18,0.11,0.17,0.66,32
349,cbrigman9o,Caz,Brigman,cbrigman9o@nationalgeographic.com,63 2nd Circle,Memphis,Tennessee,Genderqueer,0.69,0.18,0.05,0.5,65
350,bschaffler9p,Beverley,Schaffler,bschaffler9p@hhs.gov,24882 Emmet Point,Shreveport,Louisiana,Bigender,0.74,0.49,0.01,0.81,90
351,johearn9q,Jocelin,O'Hearn,johearn9q@posterous.com,02 Dottie Trail,Van Nuys,California,Genderfluid,0.22,0.58,0.26,0.33,88
352,gvedeniktov9r,Gino,Vedeniktov,gvedeniktov9r@youtube.com,9 Northwestern Junction,Washington,District of Columbia,Genderqueer,0.4,0.51,0.57,0.94,1
353,ktatteshall9s,Kristo,Tatteshall,ktatteshall9s@bravesites.com,23 Londonderry Way,Newark,Delaware,Agender,0.57,0.88,0.7,0.38,67
354,bbosworth9t,Bonnibelle,Bosworth,bbosworth9t@fda.gov,32 Erie Place,Houston,Texas,Polygender,0.44,0.11,0.83,0.16,92
355,sjayme9u,Sharla,Jayme,sjayme9u@cmu.edu,71 Drewry Drive,Syracuse,New York,Genderqueer,0.23,0.21,0.89,0.59,58
357,nondracek9w,Norah,Ondracek,nondracek9w@dion.ne.jp,78604 Lindbergh Street,Miami,Florida,Genderfluid,0.16,0.28,0.83,0.94,66
358,adionis9x,Arie,Dionis,adionis9x@patch.com,11031 Crest Line Terrace,Oklahoma City,Oklahoma,Male,0.38,0.83,0.35,0.39,80
359,mrousby9y,Margarita,Rousby,mrousby9y@goo.ne.jp,3 Buell Street,San Antonio,Texas,Male,0.91,0.56,0.22,0.28,40
360,ccotta9z,Christabel,Cotta,ccotta9z@toplist.cz,60451 Farragut Crossing,Jacksonville,Florida,Genderqueer,0.55,0.28,0.47,0.08,50
361,dpainswicka0,Dun,Painswick,dpainswicka0@cmu.edu,482 Loftsgordon Trail,Milwaukee,Wisconsin,Bigender,0.66,0.82,0.84,0.05,2
362,jbrahma1,Jilly,Brahm,jbrahma1@geocities.jp,825 Waywood Court,Norfolk,Virginia,Bigender,0.35,0.21,0.03,0.48,54
363,fcristofaninia2,Fayette,Cristofanini,fcristofaninia2@pagesperso-orange.fr,79 Nelson Street,El Paso,Texas,Genderqueer,0.9,0.13,0.14,0.08,88
364,rapplewhitea3,Roseanne,Applewhite,rapplewhitea3@ow.ly,3613 Rigney Court,San Diego,California,Bigender,0.14,0.83,0.93,0.41,37
365,dwalentaa4,Deb,Walenta,dwalentaa4@wsj.com,24183 Twin Pines Trail,San Francisco,California,Genderfluid,0.19,0.03,0.64,0.79,72
366,eduddena5,Even,Dudden,eduddena5@i2i.jp,43604 Hollow Ridge Hill,El Paso,Texas,Male,0.86,0.82,0.01,0.75,6
367,apulsforda6,Angil,Pulsford,apulsforda6@cmu.edu,5 Melvin Hill,Spring,Texas,Polygender,0.2,0.52,0.18,0.3,37
368,tgatherella7,Trudey,Gatherell,tgatherella7@imageshack.us,9 Sachtjen Plaza,Idaho Falls,Idaho,Non-binary,0.76,0.98,0.93,0.45,23
369,gverrilloa8,Gene,Verrillo,gverrilloa8@wiley.com,7041 Carberry Center,Paterson,New Jersey,Agender,0.64,0.34,0.3,0.37,11
370,athulborna9,Aldus,Thulborn,athulborna9@naver.com,0548 Towne Center,Lynn,Massachusetts,Non-binary,0.01,0.07,0.62,0.17,70
371,spadburyaa,Sallee,Padbury,spadburyaa@homestead.com,7906 Welch Parkway,Tallahassee,Florida,Genderfluid,0.0,0.93,0.73,0.59,52
372,chattiffab,Cesare,Hattiff,chattiffab@hostgator.com,1 Moulton Terrace,Sioux City,Iowa,Male,0.45,0.1,0.63,0.94,17
373,mgoodrickac,Marietta,Goodrick,mgoodrickac@walmart.com,6 Bobwhite Trail,Pittsburgh,Pennsylvania,Genderfluid,0.13,0.29,0.65,0.76,8
375,abrabonae,Alfreda,Brabon,abrabonae@ustream.tv,91 Badeau Point,Topeka,Kansas,Genderfluid,0.85,0.41,0.5,0.22,62
376,gchittendenaf,Gayle,Chittenden,gchittendenaf@gov.uk,74 Village Green Park,Santa Cruz,California,Male,0.05,0.31,0.14,0.03,79
377,emcnishag,Edwina,McNish,emcnishag@tumblr.com,38 Kropf Circle,Peoria,Illinois,Agender,0.51,0.06,0.06,0.61,36
378,jcavnorah,Jannel,Cavnor,jcavnorah@slate.com,1 Tennyson Trail,Chicago,Illinois,Female,0.73,0.92,0.03,0.31,34
380,pbateripaj,Patton,Baterip,pbateripaj@merriam-webster.com,1 Morningstar Avenue,Waterbury,Connecticut,Bigender,0.72,0.45,0.47,0.73,87
381,fglentzak,Freddie,Glentz,fglentzak@spiegel.de,19 Duke Point,San Diego,California,Female,0.27,0.65,0.92,0.76,24
382,kpughal,Katina,Pugh,kpughal@paypal.com,8858 Shasta Park,San Antonio,Texas,Polygender,0.19,0.69,0.77,0.57,81
383,lpantoneam,Linn,Pantone,lpantoneam@vimeo.com,9661 Sullivan Road,Kingsport,Tennessee,Bigender,0.22,0.36,0.14,0.07,33
384,ncolumbellan,Niki,Columbell,ncolumbellan@usatoday.com,2710 Kennedy Park,Charlotte,North Carolina,Genderfluid,0.81,0.82,0.06,0.95,75
